Tag;Stunde;SUM_GS200;AVG_TA200
01.01.2019;20:00;,00;5,44
01.01.2019;21:00;,00;5,27
01.01.2019;22:00;,00;4,99
01.01.2019;23:00;,00;4,98
02.01.2019;00:00;,00;4,87
02.01.2019;01:00;,00;4,85
02.01.2019;02:00;,00;4,18
02.01.2019;03:00;,00;2,87
02.01.2019;04:00;,00;3,47
02.01.2019;05:00;,00;2,42
02.01.2019;06:00;,00;1,61
02.01.2019;07:00;,00;1,25
02.01.2019;08:00;,00;1,38
02.01.2019;09:00;29,70;1,78
02.01.2019;10:00;95,37;2,91
02.01.2019;11:00;132,65;3,59
02.01.2019;12:00;152,98;3,94
02.01.2019;13:00;118,07;4,34
02.01.2019;14:00;106,35;4,89
02.01.2019;15:00;31,47;4,35
02.01.2019;16:00;12,13;3,68
02.01.2019;17:00;,00;3,45
02.01.2019;18:00;,00;3,21
02.01.2019;19:00;,00;3,03
02.01.2019;20:00;,00;2,74
02.01.2019;21:00;,00;2,31
02.01.2019;22:00;,00;1,62
02.01.2019;23:00;,00;,59
03.01.2019;00:00;,00;-,49
03.01.2019;01:00;,00;-,96
03.01.2019;02:00;,00;-1,25
03.01.2019;03:00;,00;-1,62
03.01.2019;04:00;,00;-2,06
03.01.2019;05:00;,00;-2,03
03.01.2019;06:00;,00;-2,44
03.01.2019;07:00;,00;-2,67
03.01.2019;08:00;,00;-2,84
03.01.2019;09:00;35,23;-2,56
03.01.2019;10:00;308,02;-1,20
03.01.2019;11:00;409,90;,73
03.01.2019;12:00;191,83;1,62
03.01.2019;13:00;153,32;1,71
03.01.2019;14:00;123,45;1,96
03.01.2019;15:00;42,78;1,98
03.01.2019;16:00;,00;1,64
03.01.2019;17:00;,00;1,32
03.01.2019;18:00;,00;1,10
03.01.2019;19:00;,00;1,00
03.01.2019;20:00;,00;,56
03.01.2019;21:00;,00;,56
03.01.2019;22:00;,00;,35
03.01.2019;23:00;,00;-,18
04.01.2019;00:00;,00;,10
04.01.2019;01:00;,00;,12
04.01.2019;02:00;,00;,09
04.01.2019;03:00;,00;-,19
04.01.2019;04:00;,00;-,74
04.01.2019;05:00;,00;-1,05
04.01.2019;06:00;,00;-1,25
04.01.2019;07:00;,00;-1,63
04.01.2019;08:00;,00;-1,88
04.01.2019;09:00;53,68;-1,47
04.01.2019;10:00;260,87;-,26
04.01.2019;11:00;308,63;1,29
04.01.2019;12:00;275,12;2,00
04.01.2019;13:00;281,18;2,75
04.01.2019;14:00;204,60;2,92
04.01.2019;15:00;69,20;2,69
04.01.2019;16:00;12,88;2,15
04.01.2019;17:00;,00;1,23
04.01.2019;18:00;,00;1,05
04.01.2019;19:00;,00;1,11
04.01.2019;20:00;,00;,95
04.01.2019;21:00;,00;,99
04.01.2019;22:00;,00;1,58
04.01.2019;23:00;,00;1,61
05.01.2019;00:00;,00;1,44
05.01.2019;01:00;,00;1,22
05.01.2019;02:00;,00;1,34
05.01.2019;03:00;,00;1,26
05.01.2019;04:00;,00;1,22
05.01.2019;05:00;,00;1,25
05.01.2019;06:00;,00;1,23
05.01.2019;07:00;,00;1,08
05.01.2019;08:00;,00;,64
05.01.2019;09:00;14,93;,87
05.01.2019;10:00;24,53;1,33
05.01.2019;11:00;33,75;1,67
05.01.2019;12:00;37,92;1,77
05.01.2019;13:00;29,97;1,83
05.01.2019;14:00;27,03;1,74
05.01.2019;15:00;21,57;2,28
05.01.2019;16:00;,00;2,65
05.01.2019;17:00;,00;2,49
05.01.2019;18:00;,00;2,32
05.01.2019;19:00;,00;2,57
05.01.2019;20:00;,00;2,67
05.01.2019;21:00;,00;2,70
05.01.2019;22:00;,00;2,87
05.01.2019;23:00;,00;3,14
06.01.2019;00:00;,00;3,23
06.01.2019;01:00;,00;3,38
06.01.2019;02:00;,00;3,28
06.01.2019;03:00;,00;3,00
06.01.2019;04:00;,00;3,00
06.01.2019;05:00;,00;3,00
06.01.2019;06:00;,00;3,00
06.01.2019;07:00;,00;2,88
06.01.2019;08:00;,00;2,73
06.01.2019;09:00;31,23;2,94
06.01.2019;10:00;63,43;3,57
06.01.2019;11:00;71,67;4,10
06.01.2019;12:00;58,32;3,98
06.01.2019;13:00;45,07;3,85
06.01.2019;14:00;46,23;3,63
06.01.2019;15:00;26,87;3,50
06.01.2019;16:00;,00;3,27
06.01.2019;17:00;,00;3,16
06.01.2019;18:00;,00;2,96
06.01.2019;19:00;,00;2,91
06.01.2019;20:00;,00;2,89
06.01.2019;21:00;,00;2,91
06.01.2019;22:00;,00;2,91
06.01.2019;23:00;,00;2,88
